business_id_1,business_id_2,similarity
-8O4kt8AIRhM3OUxt-pWLg,_p64KqqRmPwGKhZ-xZwhtg,0.5
-A5jntJgFglQ6zwAmOiOMw,cTqIuG-fvlQQL0OWzsFdig,0.5
-Jhlh8Scjy669NdtCfKSSg,o5Mofj5KJkYAMs_fhxftpg,0.5
-LfTBo0oa_uD454ScEW2XA,J5U-nbhKSnnX7DJGT6QELg,1.0
-LfTBo0oa_uD454ScEW2XA,Lwb6bG1Qu3BbW7FJj5suLw,0.5
-LfTBo0oa_uD454ScEW2XA,aokqWHt8vMf5iwj8KZZ5eg,0.5
-Mm02AeY1PMGg-l-ShMxUg,RWwvuTbnf3DleUSiFbUscg,0.5
-Mm02AeY1PMGg-l-ShMxUg,cKgkSMcPXwWTzPrJRpa2qw,0.5
-N_YCDH4HijYnJ-RisQfHA,W2Vis19kUa7kP6GkSvJ9zQ,0.5
-N_YCDH4HijYnJ-RisQfHA,zm8u9z2KCwEkNiCD59UQ3Q,0.5
-UV2tt3gy57-5a29paA_4w,HUMdEqtlPF70AqyZmiyAhA,0.5
-ePLgQ_afOTW1STxD-2RIA,fBU5QssrXMXPbJWD08o9zg,0.5
-fn65iT4z-nh1Ybfyajxng,9BQGpsIRhs9cRHuGh9xuJw,0.5
-i3dOjumvOw-52aGXU1xDg,6nMYROXu0VX4Ytpdsfi3XA,0.5
-ml57G52t4mQpYRHe54HWQ,Nm9xRoLxn4a_q4XlVAJfSg,0.5
06X34OSshQJPDiyUDHtS0A,or4yipilbCkKIFnF1RP5Ow,0.5
06X34OSshQJPDiyUDHtS0A,rsoxvO7ku3fZdhxAw739bQ,0.5
0BOdyChBbhGjQXRWZtDscQ,uocjMsMLvB9o_0nIRKIR6w,1.0
0FJ22K--OjiiQJZ8VJIpJw,ObJJ9S04UuIIjMHZTbK8Kw,1.0
0JoteSDMdGJSgYzk60vSdQ,NjypbHnZG6HjNQVDVQ_iYA,0.5
0Lq-MK2LwhntBCF7G2t71w,WvcUKsNMERSP_dPkgsq9ZA,0.5
0OOmvIS1Tb5ccYOCvq4Yeg,NKpwKdjEG8nL1rI60aYHmg,0.5
0OOmvIS1Tb5ccYOCvq4Yeg,lnU-G15oaYWwqqbUXj9JEA,0.5
0PenhUhRbw2xd_suA68IjA,7jKDOB9b_nijq0-djwyUTw,0.5
0PenhUhRbw2xd_suA68IjA,_11zD3Vo-oyd21A_t5B3BA,0.5
0TUqA5zzBpj8izS96M_50A,PMTrNqHunjLgUfnuALUnmQ,0.5
0WOlYhMZFtitsupK3VP_2w,dE_5fWVjBA0W4H7q2iwijQ,0.6666666666666666
0aA5l11oXes0aS6mkN5lMQ,d_Wm9CpzIo_0T-XLfq1UcA,0.5
0e2oJ82g4ZfvQzIc8SE9Xw,tZy8IQbEWVB8DW8NdGc9FQ,0.5
0l_HQpZ4gsR5T6Ejqcgi2Q,DTmYVvujYjELUgLfPRtN7g,0.5
0l_HQpZ4gsR5T6Ejqcgi2Q,POiWEckMIOqX7TgBxXgCzw,0.5
0l_HQpZ4gsR5T6Ejqcgi2Q,smnXd7cSduSxe8CoYyLCyw,0.5
0zC1EGTJFd5_xPjHruQMZQ,TfgGLuX0JBr-KKXatxQWFQ,0.5
12g_z3nFKbN2telbzG5ZWQ,2FQ4fhO6_gXCYRDsw5wtQw,0.5
157Y-QIXWnqQra78_WfW5g,e3rO7PfdGrdHPzayPtoi_A,1.0
1839Avk-JpsRaBtrNRbqyg,cpxobfqM8IuF78WUfrj9_Q,0.5
1AyaRLA83q_V9D3bYevRkQ,8m1HM54_hE6UcQcxWTWMaA,0.5
1FGe55e-ZPkumoBK7cyjnA,EAFuhvRxoAhYARuiXCsUSw,0.5
1FGe55e-ZPkumoBK7cyjnA,rPshoySU7Xfafoi3S0KDfg,0.5
1PUPTbQRums97s6yfTnA5A,lbFkq0Ac2nXeeWBCJ0jZRA,0.5
1S6eB9Ag2VMx3Ab7LHORJw,BkqM_Ou82P3gn_PTxEN3pw,0.5
1VQmZoUwNbNik7EQs_EHeQ,n3Lw-lO8scCxiVTlIjUoqg,1.0
1VQmZoUwNbNik7EQs_EHeQ,y21M2pMkc0csUh0mQv7SUA,1.0
1ddi7j3nph9tuU3J3TK6LA,zlQMtbgJVzXMRy3cIHww1Q,0.5
1hSGeXz8tCMvi7tBkP4CTg,Icj9QzQxqvzOmPm_liAq1Q,0.5
1jpBooSSrmiNMWMtR9rmng,AI-LZ6BgPgChSpRGoVJW2w,0.5
1jt4SuIHAtXD9aPnPqZ3BQ,wpDJUu8Ty_eyQJENUy7fIw,0.5
1p7PF2WSnR9P_NHkcslp9A,5UNsySfBLt1zf7iCurXXBA,0.5
1p7PF2WSnR9P_NHkcslp9A,9eXubYXgL7Chi4ZLuBBOKQ,0.5
2-hzRW7iwQE0gzQIyQnwlA,6h7RuXs79Ok_8RPRbUapJg,0.5
20vCzyibdvXOxW42h9v_MQ,6QKauV9Qt9VgX38-R7Q--g,0.6666666666666666
2B4bC4w4PDC8Pj53SfTG2g,SqzFjKz5PQCibg5OKk-jBQ,0.5
2FQ4fhO6_gXCYRDsw5wtQw,It_S0wF9SiitmNI3dwx6iQ,0.5
2FQ4fhO6_gXCYRDsw5wtQw,pmsGwCJoMjtj-wwP78PIWQ,0.5
2Pg2pwIDa5NaAScoBFtGvA,JBmdGTvwGnwDx4eNPQSW7g,0.5
2Pg2pwIDa5NaAScoBFtGvA,MFfK5cLkIjdD5ONn0qB_aA,0.5
2TFmNewkeZVUXXrHjfHPAQ,Qan7Jinv96vX4cvfmsStPg,1.0
2aWV8Rx4TwtB0x2pfIPNxA,bYPahCt2MBgEqSahPS8GJQ,1.0
2hgfYu-jBRUGybzl_CvqvA,9K2FHkajUaTU4P2cfFJmGQ,0.5
2kfXHEV-bx0nTp0MzLQgSA,eNfSygNzzmwR33QXpfC-Qg,0.5
2pbOSrbB5AtQIa240AXNvQ,pVLZQRs67CF4gZCEYCe_3Q,0.5
2qIZlW8YSLL8a7I6KkJdHQ,btoBhgcY7vtvQ2M0itdTBQ,0.5
30fH0eHUXorWSR2-C4PuiA,DPpi9r4FGuR6WfeqQKL4Nw,0.5
33hBdrw45g9OB_uS-802Lw,Erf_MwkL0Gls3tCJvz41-A,0.5
37_fNrTNrqYGJnwdqtXQ9w,azJAJh8oivpsU9HzlLS6EA,0.5
3A9blBRRHiO5HPr0nH_YNg,i-LDatuEXFN3EDZK1sgllQ,0.5
3B74iILT_W1ptfQeW7pIYQ,KGpsB2dsdkxl8SGVUlJbZw,0.5
3B74iILT_W1ptfQeW7pIYQ,bkh5o6bCzDCovSkRYBsU1w,0.5
3CI95LMvt4u1xqEWq6CbnQ,Tje8uY1C4RMUPXcw4dsScQ,0.5
3IJ7MtMDCe5_vPGNpquIeA,LCzyOZMRyB6tKE6bPeWeeQ,1.0
3P37jROxsfYz-en2dtCp-w,Iz3Cpk4HEd88K0niEmdK5w,1.0
3S8ofvLdDZUE2M7L5eDquw,oWlw9371cuPN-dQ-VEwgYg,0.5
3XmaqqVe6VOCR5w6Qs0A3A,wuHPirjfXUCpNL3XO_vHUg,0.5
3bpMCRbjDe-rNvHAXYvUCw,7hlICFMky5fPFxeYRgg__w,0.5
3bpMCRbjDe-rNvHAXYvUCw,dvnv8ptF7ap4v0Uf_xBaAw,0.5
3fTi3cxEnPCLSn-trfFVng,ShGn523XhgUSAWXrsS_TPw,0.5
3hI4ZGiuioBwUq62Q-oJiw,NZnhc2sEQy3RmzKTZnqtwQ,0.5
3lRFcrfR3IrSAQJtrnn80A,APTiouqg0vmMznY_UoJ6MA,0.5
4-0ozduHY8Ag6cwXMl8UAQ,Kr5k9eEm-2dGBGGlF2HvaQ,0.5
4-0ozduHY8Ag6cwXMl8UAQ,g6L-oVN4geIRdABs8we-zw,0.5
4-0ozduHY8Ag6cwXMl8UAQ,hamdxLntv7uASAmOSKBLig,1.0
4-0ozduHY8Ag6cwXMl8UAQ,u9zsTjkceESEEbncLBChaQ,0.5
4-0ozduHY8Ag6cwXMl8UAQ,wbNWiuY5IDbvouNQAZsS-Q,0.5
4OjdqmThsVRglRccfqDAWQ,Kkh-LUn5p4ZmF1Bg4X9sxg,0.5
4OjdqmThsVRglRccfqDAWQ,SdZ05lwYsXH4o03Tp_mH8g,0.5
4OjdqmThsVRglRccfqDAWQ,TORYrU3gRwjncwQ0UOLGrg,0.5
4OjdqmThsVRglRccfqDAWQ,XiQ9tKLLEPpDPlAUu40jrg,0.5
4OjdqmThsVRglRccfqDAWQ,eV7eaUWfe7LpmNHIaNvYZg,0.5
4XGjbI2Ggi-kdgt9eZR83w,H8mq-5oLkF9jlfyYi3vvOw,0.6
4bQ86VHLp0nkd2G7MmoJ2g,cFpvRRsauuTchKGHbbyYMQ,1.0
4kiFDm5NXJgGks9c9JY0_A,RWwvuTbnf3DleUSiFbUscg,0.5
4kiFDm5NXJgGks9c9JY0_A,yt9VdyKrerH4G8n-dmlGkw,0.5
4rOTvZwCV_mIVO6BXZ90JQ,OEnBuiez0un3EqtWjnWpSg,0.5
4uMAsbmiYC3O6BfsMJJTJQ,QYio9HySny2cMcIs8YjMCQ,0.5
4uMAsbmiYC3O6BfsMJJTJQ,hB3-pvW_Q85lCpUxJMn86w,0.5
54fC1Sbd5MYxo07LMauSbQ,HOarFvVeMrdrikfjf7-uGQ,0.5
57HulgI0Ju8Xj5cpxnmu1g,ICw43H7hrbSuXTjDBmJxbA,0.5
58TsZIweIkb8B4iOkA4jWQ,AnBIIqzFTO4jZ6z_uI36Kw,0.5
5IDegt9MPDGOtVYfUB6pXA,f9nJNel6ySgSzZvmF7l-4g,0.5
5J6uI0fpUfIgHe1V_UfcZg,8VLDDOtJmp5pPiYokIlRfQ,0.5
5UNsySfBLt1zf7iCurXXBA,9eXubYXgL7Chi4ZLuBBOKQ,1.0
